source language,target language,translation engine,is preferred engine?
af,nl,Content Translation,True
ca,eu,Content Translation,True
ca,fr,Content Translation,True
ca,simple,Content Translation,True
en,as,Content Translation,True
en,ast,Content Translation,True
en,ay,Content Translation,True
en,ba,Content Translation,True
en,ckb,Content Translation,True
en,ha,Content Translation,True
en,ig,Content Translation,True
en,ilo,Content Translation,True
en,is,Content Translation,True
en,kg,Content Translation,True
en,ln,Content Translation,True
en,lg,Content Translation,True
en,nso,Content Translation,True
en,oc,Content Translation,True
en,om,Content Translation,True
en,ss,Content Translation,True
en,tn,Content Translation,True
en,ts,Content Translation,True
en,wo,Content Translation,True
en,yue,Content Translation,True
en,zh,Content Translation,True
en,zu,Content Translation,True
af,am,Content Translation,True
af,ar,Content Translation,True
af,arz,Content Translation,True
af,as,Content Translation,True
af,ay,Content Translation,True
af,az,Content Translation,True
af,be,Content Translation,True
af,bg,Content Translation,True
af,bho,Content Translation,True
af,bm,Content Translation,True
af,bn,Content Translation,True
af,bs,Content Translation,True
af,ca,Content Translation,True
af,ceb,Content Translation,True
af,ckb,Content Translation,True
af,co,Content Translation,True
af,cs,Content Translation,True
af,cy,Content Translation,True
af,da,Content Translation,True
af,de,Content Translation,True
af,dv,Content Translation,True
af,ee,Content Translation,True
af,el,Content Translation,True
af,en,Content Translation,True
af,eo,Content Translation,True
af,es,Content Translation,True
af,et,Content Translation,True
af,eu,Content Translation,True
af,fa,Content Translation,True
af,fi,Content Translation,True
af,fr,Content Translation,True
af,fy,Content Translation,True
af,ga,Content Translation,True
af,gan,Content Translation,True
af,gd,Content Translation,True
af,gl,Content Translation,True
af,gn,Content Translation,True
af,gom,Content Translation,True
af,gu,Content Translation,True
af,ha,Content Translation,True
af,haw,Content Translation,True
af,he,Content Translation,True
af,hi,Content Translation,True
af,hr,Content Translation,True
af,ht,Content Translation,True
af,hu,Content Translation,True
af,hy,Content Translation,True
af,id,Content Translation,True
af,ig,Content Translation,True
af,ilo,Content Translation,True
af,is,Content Translation,True
af,it,Content Translation,True
af,ja,Content Translation,True
af,jv,Content Translation,True
af,ka,Content Translation,True
af,kk,Content Translation,True
af,km,Content Translation,True
af,kn,Content Translation,True
af,ko,Content Translation,True
af,ku,Content Translation,True
af,ky,Content Translation,True
af,la,Content Translation,True
af,lb,Content Translation,True
af,lg,Content Translation,True
af,ln,Content Translation,True
af,lo,Content Translation,True
af,lt,Content Translation,True
af,lv,Content Translation,True
af,mai,Content Translation,True
af,mg,Content Translation,True
af,mi,Content Translation,True
af,mk,Content Translation,True
af,ml,Content Translation,True
af,mn,Content Translation,True
af,mni,Content Translation,True
af,mr,Content Translation,True
af,ms,Content Translation,True
af,mt,Content Translation,True
af,my,Content Translation,True
af,ne,Content Translation,True
af,nl,Content Translation,True
af,False,Content Translation,True
af,nso,Content Translation,True
af,ny,Content Translation,True
af,om,Content Translation,True
af,or,Content Translation,True
af,pa,Content Translation,True
af,pl,Content Translation,True
af,ps,Content Translation,True
af,pt,Content Translation,True
af,qu,Content Translation,True
af,ro,Content Translation,True
af,ru,Content Translation,True
af,rw,Content Translation,True
af,sa,Content Translation,True
af,sd,Content Translation,True
af,sh,Content Translation,True
af,si,Content Translation,True
af,simple,Content Translation,True
af,sk,Content Translation,True
af,sl,Content Translation,True
af,sm,Content Translation,True
af,sn,Content Translation,True
af,so,Content Translation,True
af,sq,Content Translation,True
af,sr,Content Translation,True
af,st,Content Translation,True
af,su,Content Translation,True
af,sv,Content Translation,True
af,sw,Content Translation,True
af,ta,Content Translation,True
af,te,Content Translation,True
af,tg,Content Translation,True
af,th,Content Translation,True
af,ti,Content Translation,True
af,tk,Content Translation,True
af,tl,Content Translation,True
af,tr,Content Translation,True
af,ts,Content Translation,True
af,tt,Content Translation,True
af,tw,Content Translation,True
af,ug,Content Translation,True
af,uk,Content Translation,True
af,ur,Content Translation,True
af,uz,Content Translation,True
